time: 49306080
x[6]: = -83 , y[6]: = 314 , z[6]: = 223 , avg[6]: = 393.972080
x[7]: = -76 , y[7]: = 274 , z[7]: = 238 , avg[7]: = 370.804531
x[8]: = -76 , y[8]: = 310 , z[8]: = 175 , avg[8]: = 364.006868
x[9]: = -54 , y[9]: = 290 , z[9]: = 162 , avg[9]: = 336.541231
time: 49315920
x[0]: = -45 , y[0]: = 265 , z[0]: = 120 , avg[0]: = 294.363721
x[1]: = -33 , y[1]: = 226 , z[1]: = 87  , avg[1]: = 244.405401
x[2]: = -25 , y[2]: = 128 , z[2]: = 27  , avg[2]: = 133.184083
x[3]: = -26 , y[3]: = 60  , z[3]: = 7   , avg[3]: = 65.764732
x[4]: = -38 , y[4]: = 19  , z[4]: = -33 , avg[4]: = 53.795911
x[5]: = -32 , y[5]: = 14  , z[5]: = -39 , avg[5]: = 52.354560
x[6]: = -27 , y[6]: = 47  , z[6]: = -17 , avg[6]: = 56.806690
x[7]: = -18 , y[7]: = 98  , z[7]: = 12  , avg[7]: = 100.359354
x[8]: = -13 , y[8]: = 148 , z[8]: = 46  , avg[8]: = 155.528133
x[9]: = -13 , y[9]: = 192 , z[9]: = 69  , avg[9]: = 204.435809
time: 49316320
x[0]: = 10  , y[0]: = 199 , z[0]: = 91  , avg[0]: = 219.047940
x[1]: = -47 , y[1]: = 253 , z[1]: = 86  , avg[1]: = 271.319000
x[2]: = -43 , y[2]: = 271 , z[2]: = 135 , avg[2]: = 305.802224
x[3]: = 135 , y[3]: = 925 , z[3]: = 479 , avg[3]: = 1050.376599
x[4]: = 34  , y[4]: = 426 , z[4]: = 236 , avg[4]: = 488.188488
x[5]: = 36  , y[5]: = 325 , z[5]: = 98  , avg[5]: = 341.357584
x[6]: = 3   , y[6]: = 221 , z[6]: = 156 , avg[6]: = 270.529111
x[7]: = -46 , y[7]: = 263 , z[7]: = 36  , avg[7]: = 269.408612
x[8]: = -40 , y[8]: = 233 , z[8]: = 79  , avg[8]: = 249.258902
x[9]: = -29 , y[9]: = 235 , z[9]: = 56  , avg[9]: = 243.314611
time: 49316720
x[0]: = -33 , y[0]: = 229 , z[0]: = 63  , avg[0]: = 239.789491
x[1]: = -36 , y[1]: = 229 , z[1]: = 67  , avg[1]: = 241.300642
x[2]: = -38 , y[2]: = 230 , z[2]: = 67  , avg[2]: = 242.555148
x[3]: = -39 , y[3]: = 231 , z[3]: = 69  , avg[3]: = 244.219164
x[4]: = -38 , y[4]: = 231 , z[4]: = 66  , avg[4]: = 243.230344
x[5]: = -36 , y[5]: = 231 , z[5]: = 64  , avg[5]: = 242.390181
x[6]: = -37 , y[6]: = 232 , z[6]: = 65  , avg[6]: = 243.758077
x[7]: = -37 , y[7]: = 231 , z[7]: = 65  , avg[7]: = 242.806507
x[8]: = -35 , y[8]: = 228 , z[8]: = 66  , avg[8]: = 239.927072
x[9]: = -36 , y[9]: = 227 , z[9]: = 68  , avg[9]: = 239.685210
time: 49317144
x[0]: = -39 , y[0]: = 229 , z[0]: = 67  , avg[0]: = 241.766416
x[1]: = -34 , y[1]: = 230 , z[1]: = 69  , avg[1]: = 242.522164
x[2]: = -24 , y[2]: = 226 , z[2]: = 72  , avg[2]: = 238.403020
x[3]: = -24 , y[3]: = 227 , z[3]: = 73  , avg[3]: = 239.653917
x[4]: = -21 , y[4]: = 227 , z[4]: = 73  , avg[4]: = 239.372095
x[5]: = -28 , y[5]: = 231 , z[5]: = 72  , avg[5]: = 243.575450
x[6]: = -33 , y[6]: = 230 , z[6]: = 69  , avg[6]: = 242.383993
x[7]: = -34 , y[7]: = 228 , z[7]: = 69  , avg[7]: = 240.626266
x[8]: = -36 , y[8]: = 229 , z[8]: = 67  , avg[8]: = 241.300642
x[9]: = -38 , y[9]: = 230 , z[9]: = 66  , avg[9]: = 242.280829
time: 49317544
x[0]: = -40 , y[0]: = 230 , z[0]: = 64  , avg[0]: = 242.066107
x[1]: = -36 , y[1]: = 229 , z[1]: = 66  , avg[1]: = 241.024895
x[2]: = -38 , y[2]: = 232 , z[2]: = 64  , avg[2]: = 243.647286
x[3]: = -35 , y[3]: = 231 , z[3]: = 65  , avg[3]: = 242.509794
x[4]: = -35 , y[4]: = 231 , z[4]: = 65  , avg[4]: = 242.509794
x[5]: = -36 , y[5]: = 231 , z[5]: = 65  , avg[5]: = 242.656135
x[6]: = -39 , y[6]: = 235 , z[6]: = 64  , avg[6]: = 246.661712
x[7]: = -37 , y[7]: = 242 , z[7]: = 55  , avg[7]: = 250.914328
x[8]: = -27 , y[8]: = 279 , z[8]: = 35  , avg[8]: = 282.480088
x[9]: = -109, y[9]: = 333 , z[9]: = 128 , avg[9]: = 373.033511
time: 49317968
x[0]: = -80 , y[0]: = 236 , z[0]: = 262 , avg[0]: = 361.579867
x[1]: = -66 , y[1]: = 310 , z[1]: = 99  , avg[1]: = 332.049695
x[2]: = -52 , y[2]: = 245 , z[2]: = 179 , avg[2]: = 307.847365
x[3]: = -54 , y[3]: = 258 , z[3]: = 111 , avg[3]: = 286.008741
x[4]: = -47 , y[4]: = 243 , z[4]: = 92  , avg[4]: = 264.049238
x[5]: = -64 , y[5]: = 133 , z[5]: = 82  , avg[5]: = 168.846084
x[6]: = -35 , y[6]: = 77  , z[6]: = -5  , avg[6]: = 84.728980
x[7]: = -24 , y[7]: = 25  , z[7]: = -42 , avg[7]: = 54.451814
x[8]: = -22 , y[8]: = 13  , z[8]: = -42 , avg[8]: = 49.162994
x[9]: = -20 , y[9]: = 33  , z[9]: = -21 , avg[9]: = 43.931765
time: 49318368
x[0]: = -18 , y[0]: = 76  , z[0]: = 7   , avg[0]: = 78.415560
x[1]: = -18 , y[1]: = 131 , z[1]: = 41  , avg[1]: = 138.441323
x[2]: = -28 , y[2]: = 192 , z[2]: = 78  , avg[2]: = 209.121974
x[3]: = -2  , y[3]: = 226 , z[3]: = 136 , avg[3]: = 263.772629
x[4]: = -24 , y[4]: = 251 , z[4]: = 152 , avg[4]: = 294.416372
x[5]: = -36 , y[5]: = 258 , z[5]: = 158 , avg[5]: = 304.670314
x[6]: = -21 , y[6]: = 331 , z[6]: = 207 , avg[6]: = 390.961635
x[7]: = -75 , y[7]: = 294 , z[7]: = 146 , avg[7]: = 336.715013
x[8]: = -5  , y[8]: = 272 , z[8]: = 22  , avg[8]: = 272.934058
x[9]: = -22 , y[9]: = 193 , z[9]: = 123 , avg[9]: = 229.917376
time: 49318768
